angle1,angle2,angle3,angle4,angle5,angle6,letra
107,80,79,87,159,167,O
106,79,78,89,159,168,O
109,80,78,89,153,165,O
109,80,79,89,156,166,O
108,80,77,88,154,166,O
108,81,79,90,149,163,O
107,80,78,88,155,165,O
107,81,80,92,156,167,O
108,79,77,86,152,164,O
108,80,78,90,154,166,O
109,80,77,89,153,165,O
109,80,78,90,157,168,O
105,79,78,90,156,167,O
106,78,78,90,157,167,O
107,79,78,92,160,168,O
106,80,80,92,159,169,O
106,79,80,94,159,168,O
106,80,79,92,159,167,O
106,79,79,89,157,167,O
104,78,78,88,159,168,O
104,79,80,93,158,167,O
105,79,79,92,159,168,O
106,80,79,91,160,168,O
107,80,80,92,160,167,O
109,81,80,90,155,166,O
108,80,79,88,155,165,O
108,81,80,90,155,165,O
109,81,80,90,159,166,O
109,82,80,90,158,165,O
109,80,80,90,154,165,O
108,81,79,87,157,167,O
107,81,79,89,159,168,O
106,81,80,90,155,167,O
107,81,80,90,157,167,O
110,82,80,89,158,167,O
109,83,82,90,160,169,O
109,84,81,92,165,170,O
108,82,80,89,162,170,O
109,80,80,90,160,169,O
107,82,81,92,156,166,O
108,82,81,92,157,166,O
108,82,80,89,157,165,O
110,83,81,90,156,165,O
108,81,80,88,162,168,O
110,81,78,88,158,166,O
109,80,78,89,158,167,O
110,83,81,90,161,168,O
109,82,81,90,162,168,O
110,83,81,93,162,168,O
